B;C;D;E;F;G;H;I;J;K;L;M;N
TIME DAYY;DATE;MONTH;YEAR;DAY;DISTRICT;TYPES_OF_CAUSES;ALERT LEVEL;AMOUNT_DAMAGE;TEMPERATURE;TYPE_OF_ESTABLIHMENT;LATITUDE;LONGITUDE
12PM;41461;JULY;2013;Saturday;Santa Cruz;Cigarette Butt;1st Alarm;1,000.00;29;Commercial;14.626438;120.983072
11AM;41462;JULY;2013;Sunday;Paco;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;50,000.00;29;Residential;14.586388;120.993717
3PM;41464;JULY;2013;Tuesday;Sampaloc;Under Investigation;3rd Alarm;500,000.00;29;ReCom;14.607451;120.994866
7PM;41464;JULY;2013;Tuesday;Santa Ana;Electrical connection;1st Alarm;200.00;29;Residential;14.472234;121.027931
3AM;41465;JULY;2013;Wednesday;Paco;Electrical connection;1st Alarm;200.00;28;Electrical;14.575524;120.995096
9AM;41465;JULY;2013;Wednesday;Tondo;Cigarette Butt;1st Alarm;200.00;28;Rubbish;14.620565;120.965967
10PM;41466;JULY;2013;Thursday;Santa Ana;Electrical connection;1st Alarm;200.00;28;Electrical;14.5742;121.001508
1AM;41467;JULY;2013;Friday;Sampaloc;Battery-related / Cellphone / Charger;1st Alarm;5,000.00;29;Vehicle;14.609289;120.996902
9AM;41468;JULY;2013;Saturday;Santa Ana;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;500.00;28;unclear;14.581063;121.007223
11AM;41468;JULY;2013;Saturday;San Nicolas;Electrical connection;1st Alarm;200.00;28;Electrical;14.594984;121.034567
3PM;41468;JULY;2013;Saturday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;28;Residential;14.620565;120.965967
5AM;41470;JULY;2013;Monday;Santa Ana;Electrical connection;1st Alarm;200.00;27;Residential;14.578977;121.009926
2PM;41470;JULY;2013;Monday;Santa Ana;Electrical connection;1st Alarm;200.00;27;Electrical;14.598825;120.966692
6PM;41470;JULY;2013;Monday;Quiapo;Under Investigation;1st Alarm;5,000.00;27;Commercial;14.593112;120.986498
8PM;41470;JULY;2013;Monday;Ermita;Electrical connection;1st Alarm;200.00;27;Electrical;14.576489;120.988073
11AM;41474;JULY;2013;Friday;Santa Cruz;Electrical connection;1st Alarm;200.00;29;Electrical;14.472998;121.027911
8PM;41474;JULY;2013;Friday;Pandacan;Electrical connection;1st Alarm;200.00;29;Residential;14.580842;121.004756
2PM;41475;JULY;2013;Saturday;Intramuros;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;5,000.00;27;Commercial;14.589597;120.974726
7PM;41475;JULY;2013;Saturday;Quiapo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;1,000.00;27;unclear;14.604959;120.977559
3AM;41476;JULY;2013;Sunday;Sampaloc;Electrical connection;1st Alarm;200.00;31;Residential;14.603613;120.99936
6PM;41476;JULY;2013;Sunday;Tondo;Under Investigation;4th Alarm;300,000.00;31;Residential;14.620565;120.965967
2AM;41477;JULY;2013;Monday;Malate;Under Investigation;1st Alarm;8,000.00;29;Residential;14.562963;120.996006
11AM;41477;JULY;2013;Monday;Ermita;Electrical connection;1st Alarm;200.00;29;Electrical;14.592662;120.981829
12AM;41478;JULY;2013;Tuesday;Tondo;Candle;1st Alarm;200.00;26;Residential;14.620565;120.965967
9PM;41478;JULY;2013;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Electrical;14.610556;120.998333
8AM;41479;JULY;2013;Wednesday;Paco;Electrical connection;1st Alarm;200.00;28;Vehicle;14.589617;120.997455
3AM;41480;JULY;2013;Thursday;Tondo;Electrical connection;1st Alarm;200.00;29;Electrical;14.616632;120.978157
11PM;41480;JULY;2013;Thursday;Pandacan;Electrical connection;1st Alarm;200.00;29;Electrical;14.586595;120.99482
6AM;41481;JULY;2013;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Electrical;14.614963;120.989857
7PM;41481;JULY;2013;Friday;Santa Cruz;Electrical connection;1st Alarm;200.00;29;Electrical;14.599;120.9804
2PM;41482;JULY;2013;Saturday;San Miguel;Electrical connection;1st Alarm;200.00;28;Electrical;14.594858;120.993818
2AM;41483;JULY;2013;Sunday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.652588;120.980229
6PM;41484;JULY;2013;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Electrical;14.607519;120.994242
11AM;41485;JULY;2013;Tuesday;Ermita;Electrical connection;1st Alarm;1,000.00;28;unclear;14.58988;120.98086
1AM;41487;AUGUST;2013;Thursday;Tondo;Under Investigation;5th Alarm;1,500,000.00;27;Residential;14.620565;120.965967
9PM;41488;AUGUST;2013;Friday;Santa Cruz;Electrical connection;1st Alarm;200.00;28;Electrical;14.622622;120.983644
6PM;41489;AUGUST;2013;Saturday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.617773;120.969848
9PM;41489;AUGUST;2013;Saturday;Santa Cruz;Electrical connection;1st Alarm;200.00;27;Electrical;14.679011;120.942193
3PM;41491;AUGUST;2013;Monday;Tondo;Electrical connection;1st Alarm;8,000.00;30;Residential;14.629654;120.972564
9PM;41491;AUGUST;2013;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;30;Electrical;14.598646;120.993634
10PM;41491;AUGUST;2013;Monday;Santa Ana;Electrical connection;1st Alarm;200.00;30;Electrical;14.472234;121.027931
10AM;41492;AUGUST;2013;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.620565;120.965967
11AM;41492;AUGUST;2013;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Electrical;14.599512;120.984219
3PM;41492;AUGUST;2013;Tuesday;Malate;Open flame;1st Alarm;1,000.00;26;Residential;14.561393;120.99399
7AM;41493;AUGUST;2013;Wednesday;Tondo;Under Investigation;3rd Alarm;50,000.00;27;Commercial;14.627797;120.97614
7AM;41494;AUGUST;2013;Thursday;Paco;Electrical connection;1st Alarm;200.00;30;Electrical;14.620565;120.965967
11AM;41497;AUGUST;2013;Sunday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;27;Residential;14.606298;
10AM;41499;AUGUST;2013;Tuesday;Binondo;Under Investigation;3rd Alarm;100,000.00;28;Commercial;14.66712;120.948033
11AM;41499;AUGUST;2013;Tuesday;Tondo;Candle;1st Alarm;100,000.00;28;Residential;14.620565;120.965967
11AM;41499;AUGUST;2013;Tuesday;Tondo;Electrical connection;1st Alarm;3,000.00;28;Vehicle;14.591116;120.986474
4PM;41499;AUGUST;2013;Tuesday;San Miguel;Electrical connection;1st Alarm;200.00;28;Residential;14.573756;120.994453
7PM;41500;AUGUST;2013;Wednesday;Malate;Electrical connection;1st Alarm;200.00;29;Electrical;14.609289;120.996902
9PM;41501;AUGUST;2013;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;30;Electrical;14.57583;121.010494
9AM;41502;AUGUST;2013;Friday;Tondo;Candle;1st Alarm;200.00;30;Residential;14.589567;121.01886
11AM;41502;AUGUST;2013;Friday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;30;Residential;14.605337;120.972961
11AM;41502;AUGUST;2013;Friday;Binondo;Electrical connection;1st Alarm;200.00;30;Residential;14.610556;120.998333
1PM;41503;AUGUST;2013;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Electrical;14.591395;121.00324
9AM;41504;AUGUST;2013;Sunday;Pandacan;Electrical connection;1st Alarm;200.00;26;Electrical;14.603822;121.018209
8PM;41504;AUGUST;2013;Sunday;Santa Mesa;Electrical connection;1st Alarm;200.00;26;Electrical;14.630601;120.981429
10PM;41504;AUGUST;2013;Sunday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.608926;121.007846
2AM;41505;AUGUST;2013;Monday;Tondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.62364;120.972694
7AM;41505;AUGUST;2013;Monday;Tondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.590936;121.012374
7PM;41505;AUGUST;2013;Monday;Pandacan;Electrical connection;1st Alarm;200.00;25;Electrical;14.611046;121.007701
9PM;41505;AUGUST;2013;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Electrical;14.589567;121.01886
2AM;41506;AUGUST;2013;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;24;Electrical;14.664857;120.998241
10AM;41506;AUGUST;2013;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;24;Electrical;14.620565;120.965967
9PM;41506;AUGUST;2013;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;24;Electrical;14.581947;120.981123
3AM;41507;AUGUST;2013;Wednesday;Paco;Electrical connection;1st Alarm;200.00;25;Electrical;14.469106;121.003284
9AM;41507;AUGUST;2013;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.47261;121.025605
1PM;41507;AUGUST;2013;Wednesday;Ermita;Electrical connection;1st Alarm;200.00;25;Vehicle;14.617403;120.994632
1PM;41507;AUGUST;2013;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Residential;14.607228;120.98501
12PM;41509;AUGUST;2013;Friday;Santa Cruz;Electrical connection;1st Alarm;200.00;28;Electrical;14.660243;120.98759
7PM;41509;AUGUST;2013;Friday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.620565;120.965967
9PM;41511;AUGUST;2013;Sunday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.572285;120.993126
8AM;41513;AUGUST;2013;Tuesday;Ermita;Electrical connection;1st Alarm;200.00;27;Electrical;14.620565;120.965967
10PM;41513;AUGUST;2013;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.6005;120.981628
9AM;41514;AUGUST;2013;Wednesday;Santa Cruz;Electrical connection;1st Alarm;200.00;28;Electrical;14.600684;120.977178
11AM;41514;AUGUST;2013;Thursday;Binondo;Open flame;1st Alarm;2,000.00;28;Commercial;14.615861;120.998627
5AM;41515;AUGUST;2013;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;30;Electrical;14.560497;120.992738
11AM;41515;AUGUST;2013;Thursday;Malate;Electrical connection;1st Alarm;200.00;30;Electrical;14.582518;120.984921
6AM;41517;AUGUST;2013;Saturday;Paco;Electrical connection;1st Alarm;200.00;29;Electrical;14.615861;120.998627
6PM;41518;SEPTEMBER;2013;Sunday;Tondo;Cigarette Butt;1st Alarm;200.00;29;Grass fire;14.631273;120.977516
8PM;41518;SEPTEMBER;2013;Sunday;Paco;Electrical connection;not indicated;0;29;Electrical;14.579039;120.999215
5PM;41519;SEPTEMBER;2013;Monday;Pandacan;Open flame;1st Alarm;200.00;29;Rubbish;14.590364;121.008691
5PM;41519;SEPTEMBER;2013;Monday;Sampaloc;Under Investigation;1st Alarm;200.00;29;Residential;14.611769;121.006791
6PM;41519;SEPTEMBER;2013;Monday;Sampaloc;Open flame;1st Alarm;5,000.00;29;Rubbish;14.618083;120.97818
8PM;41519;SEPTEMBER;2013;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Electrical;14.608731;121.002455
12AM;41520;SEPTEMBER;2013;Tuesday;Sampaloc;Alcohol Lamp Fire;1st Alarm;200.00;30;Residential;14.60785;120.995234
8PM;41520;SEPTEMBER;2013;Tuesday;Paco;Electrical connection;2nd Alarm  ;5,000.00;30;Electrical;14.573086;120.991311
9AM;41521;SEPTEMBER;2013;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Residential;14.610556;120.998333
3PM;41522;SEPTEMBER;2013;Thursday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.605487;120.973971
1PM;41523;SEPTEMBER;2013;Friday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.600233;121.006118
8PM;41523;SEPTEMBER;2013;Friday;Santa Cruz;Electrical connection;1st Alarm;200.00;26;Electrical;14.61299;120.980157
2PM;41524;SEPTEMBER;2013;Saturday;Ermita;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;28;Commercial;14.599512;120.984219
10PM;41524;SEPTEMBER;2013;Saturday;Ermita;Electrical connection;1st Alarm;200.00;28;unclear;14.566302;120.997576
9PM;41525;SEPTEMBER;2013;Sunday;Tondo;Under Investigation;1st Alarm;5,000.00;27;ReCom;14.622423;120.978186
9AM;41526;SEPTEMBER;2013;Monday;Tondo;Electrical connection;3rd Alarm;200,000.00;28;Electrical;14.619361;120.968281
8PM;41526;SEPTEMBER;2013;Monday;Tondo;Under Investigation;1st Alarm;200.00;28;Commercial;14.601382;120.964471
7PM;41527;SEPTEMBER;2013;Tuesday;Tondo;Electrical connection;3rd Alarm;1,000,000.00;28;Electrical;14.603547;120.966001
7AM;41528;SEPTEMBER;2013;Wednesday;Tondo;Under Investigation;1st Alarm;200.00;29;Vehicle;14.616111;120.956667
1PM;41528;SEPTEMBER;2013;Wednesday;Paco;Electrical connection;1st Alarm;0;29;Residential;14.579039;120.999215
7PM;41528;SEPTEMBER;2013;Wednesday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;5,000.00;29;Residential;14.616594;120.967299
9AM;41529;SEPTEMBER;2013;Thursday;Sampaloc;Under Investigation;1st Alarm;200.00;27;Residential;14.610556;120.998333
3PM;41529;SEPTEMBER;2013;Thursday;Tondo;Cigarette Butt;5th Alarm;3,000.000.00;27;Residential;14.620565;120.965967
2AM;41530;SEPTEMBER;2013;Friday;Santa Cruz;Under Investigation;1st Alarm;200.00;27;ReCom;14.618992;120.998119
11PM;41530;SEPTEMBER;2013;Friday;Santa Ana;Electrical connection;4th Alarm;1,000,000.00;27;Electrical;14.581079;121.001608
8AM;41532;SEPTEMBER;2013;Sunday;Santa Ana;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;25;;14.472234;121.027931
7PM;41532;SEPTEMBER;2013;Sunday;Sampaloc;Electrical connection;1st Alarm;5,000.00;25;Electrical;14.610556;120.998333
3AM;41533;SEPTEMBER;2013;Monday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.620565;120.965967
6PM;41533;SEPTEMBER;2013;Monday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.632716;120.977011
7PM;41533;SEPTEMBER;2013;Monday;Santa Ana;Electrical connection;1st Alarm;200.00;26;Electrical;14.472234;121.027931
10PM;41533;SEPTEMBER;2013;Monday;Paco;Electrical connection;1st Alarm;200.00;26;Vehicle;14.574137;120.9904
11AM;41535;SEPTEMBER;2013;Wednesday;Quiapo;Cigarette Butt;1st Alarm;200.00;28;Rubbish;14.598769;120.986646
1PM;41535;SEPTEMBER;2013;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;28;Residential;14.600387;120.991298
1PM;41535;SEPTEMBER;2013;Wednesday;Sampaloc;Chimney Fire;1st Alarm;200.00;28;Commercial;14.580869;120.98613
5PM;41535;SEPTEMBER;2013;Wednesday;Malate;Under Investigation;1st Alarm;200.00;28;Residential;14.576568;120.991555
1PM;41536;SEPTEMBER;2013;Thursday;Paco;LPG Leak, Gas, Keresone, Charcoal Stove;3rd Alarm;200,000.00;28;Residential;14.579039;120.999215
12AM;41538;SEPTEMBER;2013;Saturday;Tondo;Under Investigation;1st Alarm;200.00;28;Residential;14.636312;120.974538
11AM;41538;SEPTEMBER;2013;Saturday;Santa Cruz;Cigarette Butt;5th Alarm;3,000,000.00;28;Grass fire;14.615345;120.980926
12AM;41539;SEPTEMBER;2013;Sunday;Tondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.620565;120.965967
10AM;41539;SEPTEMBER;2013;Sunday;Pandacan;Electrical connection;1st Alarm;200.00;25;Electrical;14.590645;121.010412
4AM;41540;SEPTEMBER;2013;Monday;Santa Cruz;Under Investigation;1st Alarm;200.00;24;ReCom;14.601494;120.979206
9AM;41540;SEPTEMBER;2013;Monday;Tondo;Electrical connection;5th Alarm;3,000,000.00;24;Electrical;14.620565;120.965967
9AM;41540;SEPTEMBER;2013;Monday;Santa Cruz;Under Investigation;1st Alarm;200.00;24;unclear;14.615046;120.996404
10AM;41540;SEPTEMBER;2013;Monday;Tondo;Under Investigation;3rd Alarm;200,000.00;24;Residential;14.624571;120.972972
3PM;41540;SEPTEMBER;2013;Monday;Sampaloc;Under Investigation;2nd Alarm  ;500,000.00;24;Residential;14.612512;120.995831
6PM;41540;SEPTEMBER;2013;Monday;Quiapo;Electrical connection;not indicated;20,000.00;24;Electrical;14.59722;120.989767
11AM;41541;SEPTEMBER;2013;Tuesday;Santa Cruz;Electrical connection;1st Alarm;200.00;26;Vehicle;14.616728;120.981955
12PM;41541;SEPTEMBER;2013;Tuesday;Santa Cruz;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;5,000.00;26;ReCom;14.605949;120.9777
9AM;41542;SEPTEMBER;2013;Wednesday;Paco;Electrical connection;1st Alarm;200.00;27;Electrical;14.630064;120.978562
11AM;41542;SEPTEMBER;2013;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Electrical;14.597386;121.016199
6PM;41542;SEPTEMBER;2013;Wednesday;Paco;Electrical connection;1st Alarm;200.00;27;Electrical;14.578919;121.008765
10PM;41542;SEPTEMBER;2013;Wednesday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;27;Residential;14.616984;120.965427
7AM;41545;SEPTEMBER;2013;Saturday;Tondo;Electrical connection;1st Alarm;5,000.00;27;Commercial;14.570199;120.991585
11PM;41545;SEPTEMBER;2013;Saturday;Quiapo;Electrical connection;1st Alarm;0;27;Electrical;14.60349;120.983545
12AM;41546;SEPTEMBER;2013;Sunday;Ermita;Under Investigation;1st Alarm;200.00;28;Commercial;14.580727;120.981503
11AM;41546;SEPTEMBER;2013;Sunday;Santa Mesa;Cigarette Butt;1st Alarm;8,000.00;28;Rubbish;14.589567;121.01886
6PM;41546;SEPTEMBER;2013;Sunday;San Miguel;Electrical connection;1st Alarm;200.00;28;Electrical;14.599512;120.98422
8PM;41546;SEPTEMBER;2013;Sunday;Santa Cruz;Electrical connection;1st Alarm;200.00;28;Electrical;14.625571;120.983572
10PM;41546;SEPTEMBER;2013;Sunday;Quiapo;Electrical connection;1st Alarm;200.00;28;Electrical;14.597093;120.985468
5AM;41547;SEPTEMBER;2013;Monday;Quiapo;Electrical connection;1st Alarm;200.00;27;Electrical;14.59722;120.989767
1PM;41547;SEPTEMBER;2013;Monday;Ermita;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;27;Residential;14.586791;120.985457
6AM;41548;OCTOBER;2013;Tuesday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;8,000.00;28;Residential;14.612579;120.966012
7AM;41548;OCTOBER;2013;Tuesday;San Miguel;Unattended cooking;1st Alarm;1,000.00;28;Residential;14.595323;120.991943
9AM;41550;OCTOBER;2013;Thursday;Tondo;Alcohol Lamp Fire;1st Alarm;200.00;28;Residential;14.620565;120.965967
3PM;41551;OCTOBER;2013;Friday;Santa Ana;Electrical connection;1st Alarm;200.00;29;Electrical;14.643598;121.014419
12PM;41552;OCTOBER;2013;Saturday;Intramuros;Electrical connection;1st Alarm;200.00;29;unclear;14.589597;120.974726
7PM;41552;OCTOBER;2013;Saturday;Port Area;Electrical connection;1st Alarm;200.00;29;Electrical;;
9AM;41553;OCTOBER;2013;Sunday;Pandacan;Cigarette Butt;1st Alarm;200.00;26;Rubbish;14.591561;121.012074
12AM;41554;OCTOBER;2013;Monday;Tondo;Under Investigation;3rd Alarm;1,000,000.00;28;Commercial;14.620565;120.965967
10PM;41555;OCTOBER;2013;Tuesday;Paco;Unattended cooking;2nd Alarm  ;100,000.00;27;Residential;14.587808;120.990545
9PM;41556;OCTOBER;2013;Wednesday;Binondo;Electrical connection;2nd Alarm  ;50,000.00;28;Residential;14.599722;120.96893
11PM;41556;OCTOBER;2013;Wednesday;Paco;Electrical connection;1st Alarm;200.00;28;Electrical;14.635923;120.982299
10PM;41557;OCTOBER;2013;Thursday;Port Area;Electrical connection;1st Alarm;200.00;28;Electrical;14.587807;120.971717
11PM;41557;OCTOBER;2013;Thursday;Paco;Candle;1st Alarm;3,000.00;28;Residential;14.61261;120.987333
5AM;41558;OCTOBER;2013;Friday;Tondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.604036;120.963503
8AM;41558;OCTOBER;2013;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Electrical;14.610556;120.998333
7PM;41559;OCTOBER;2013;Saturday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.475039;121.031683
12PM;41560;OCTOBER;2013;Sunday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;5,000.00;27;Residential;14.606887;121.006186
2PM;41561;OCTOBER;2013;Monday;Santa Cruz;Electrical connection;1st Alarm;200.00;29;Electrical;14.648256;120.977138
7PM;41561;OCTOBER;2013;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Electrical;14.610556;120.998333
1PM;41562;OCTOBER;2013;Tuesday;Intramuros;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;3,000.00;28;unclear;14.589088;120.977358
5PM;41562;OCTOBER;2013;Tuesday;Santa Cruz;Electrical connection;1st Alarm;200.00;28;Grass fire;14.6005;120.981628
6PM;41562;OCTOBER;2013;Tuesday;Port Area;Electrical connection;1st Alarm;200.00;28;Electrical;;
8AM;41563;OCTOBER;2013;Wednesday;Port Area;Electrical connection;1st Alarm;200.00;26;Electrical;;
10AM;41563;OCTOBER;2013;Wednesday;Ermita;Electrical connection;1st Alarm;200.00;26;Residential;14.565909;120.997954
9PM;41563;OCTOBER;2013;Wednesday;Binondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.601192;120.975007
2PM;41564;OCTOBER;2013;Thursday;Quiapo;Electrical connection;1st Alarm;200.00;27;Electrical;14.597093;120.985468
3AM;41565;OCTOBER;2013;Friday;Santa Ana;Matress Fire;1st Alarm;200.00;27;Residential;14.601229;120.967372
11PM;41566;OCTOBER;2013;Saturday;Tondo;Electrical connection;1st Alarm;200.00;29;Electrical;14.660243;120.98759
8AM;41567;OCTOBER;2013;Sunday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;28;Residential;14.600837;120.992603
1PM;41567;OCTOBER;2013;Sunday;Sampaloc;Cigarette Butt;1st Alarm;200.00;28;;14.599226;121.007156
4PM;41567;OCTOBER;2013;Sunday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.620565;120.965967
7PM;41568;OCTOBER;2013;Monday;Pandacan;Electrical connection;1st Alarm;200.00;28;Electrical;14.590788;121.011428
3AM;41569;OCTOBER;2013;Tuesday;Sampaloc;Air-conditioned Fire/Air-cooler/Fan;2nd Alarm  ;50,000.00;28;Residential;14.625995;120.989179
4PM;41570;OCTOBER;2013;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Electrical;14.612037;120.998815
5PM;41570;OCTOBER;2013;Wednesday;Intramuros;Under Investigation;1st Alarm;100,000.00;27;Commercial;14.589088;120.977358
8PM;41572;OCTOBER;2013;Friday;Pandacan;Electrical connection;1st Alarm;200.00;28;Electrical;14.648196;120.973985
9AM;41573;OCTOBER;2013;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Electrical;14.603613;120.99936
4PM;41573;OCTOBER;2013;Saturday;Santa Ana;Candle;1st Alarm;200.00;26;Residential;14.636237;120.963738
7PM;41574;OCTOBER;2013;Sunday;Santa Mesa;Electrical connection;1st Alarm;200.00;27;Electrical;14.589567;121.01886
8PM;41574;OCTOBER;2013;Sunday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;27;Residential;14.596362;120.966919
9PM;41574;OCTOBER;2013;Sunday;Sampaloc;Under Investigation;3rd Alarm;500,000.00;27;unclear;14.597632;121.017609
3PM;41575;OCTOBER;2013;Monday;Ermita;Electrical connection;1st Alarm;200.00;27;Vehicle;14.58988;120.98086
11AM;41577;OCTOBER;2013;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.63561;121.015501
12PM;41577;OCTOBER;2013;Wednesday;Sampaloc;Under Investigation;2nd Alarm  ;50,000.00;28;Residential;14.603992;120.996029
5PM;41578;OCTOBER;2013;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;28;Electrical;14.589567;121.01886
1AM;41579;NOVEMBER;2013;Friday;Sampaloc;Cigarette Butt;1st Alarm;200.00;28;Rubbish;14.589567;121.01886
12PM;41579;NOVEMBER;2013;Friday;Quiapo;Candle;1st Alarm;200.00;28;Residential;14.620653;120.979951
11PM;41580;NOVEMBER;2013;Saturday;Paco;Under Investigation;4th Alarm;100,000.00;27;Residential;14.572357;120.987165
1AM;41580;NOVEMBER;2013;Saturday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.630601;120.981429
4PM;41580;NOVEMBER;2013;Saturday;Binondo;Under Investigation;3rd Alarm;100,000.00;27;Residential;14.601192;14.601192
9PM;41582;NOVEMBER;2013;Monday;Sampaloc;Under Investigation;1st Alarm;1,000.00;28;Residential;14.600117;121.016777
10AM;41583;NOVEMBER;2013;Tuesday;Malate;Electrical connection;1st Alarm;200.00;26;Electrical;14.599512;120.984219
10AM;41584;NOVEMBER;2013;Wednesday;Santa Cruz;Electrical connection;1st Alarm;200.00;29;Electrical;14.599512;120.984219
6AM;41585;NOVEMBER;2013;Thursday;Binondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.499373;120.992329
8AM;41585;NOVEMBER;2013;Thursday;Sampaloc;Battery-related / Cellphone / Charger;1st Alarm;1,000.00;28;Residential;14.615332;120.99317
11AM;41585;NOVEMBER;2013;Thursday;Tondo;Matchstick and Lighter;1st Alarm;5,000.00;28;Vehicle;14.599512;120.984219
5PM;41586;NOVEMBER;2013;Friday;Ermita;Cigarette Butt;1st Alarm;200.00;26;Rubbish;14.674858;120.942813
1AM;41587;NOVEMBER;2013;Saturday;Santa Mesa;Under Investigation;4th Alarm;2,000,000.00;29;ReCom;14.589567;121.01886
8AM;41587;NOVEMBER;2013;Saturday;Santa Cruz;Electrical connection;1st Alarm;200.00;29;Electrical;14.654433;120.994424
11AM;41587;NOVEMBER;2013;Saturday;Santa Ana;Electrical connection;1st Alarm;2,000.00;29;Residential;14.572644;120.999796
8PM;41588;NOVEMBER;2013;Sunday;Santa Mesa;Electrical connection;1st Alarm;200.00;29;Electrical;14.607485;121.012719
9PM;41588;NOVEMBER;2013;Sunday;Malate;LPG Leak, Gas, Keresone, Charcoal Stove;2nd Alarm  ;50,000.00;29;Residential;14.578608;120.982184
10PM;41590;NOVEMBER;2013;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.63293;120.969165
8PM;41592;NOVEMBER;2013;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;28;Electrical;14.59847;121.00056
8PM;41592;NOVEMBER;2013;Thursday;San Miguel;Electrical connection;1st Alarm;200.00;28;Electrical;14.592184;120.989674
7AM;41593;NOVEMBER;2013;Friday;Santa Mesa;Electrical connection;1st Alarm;200.00;29;Electrical;14.610547;121.026147
6AM;41595;NOVEMBER;2013;Sunday;Santa Ana;Air-conditioned Fire/Air-cooler/Fan;4th Alarm;500,000.00;28;Residential;14.472234;121.027931
9AM;41595;NOVEMBER;2013;Sunday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.620565;120.965967
6PM;41595;NOVEMBER;2013;Sunday;Santa Ana;Electrical connection;1st Alarm;200.00;28;Electrical;14.472234;121.027931
6PM;41597;NOVEMBER;2013;Tuesday;Santa Cruz;Electrical connection;1st Alarm;200.00;26;Electrical;14.620625;120.981424
