date,cause,temp,district
8AM 13-Jun-11,Electrical connection,30.75,Santa Ana
1AM 14-Jun-11,Electrical connection,29.25,Santa Cruz
5AM 15-Jun-11,Electrical connection,30.25,Santa Ana
8AM 16-Jun-11,Electrical connection,30.25,Tondo
2PM 16-Jun-11,Electrical connection,30.25,Binondo
7PM 17-Jun-11,Cigarette Butt,29.75,Sampaloc
8AM 18-Jun-11,Under Investigation,27.25,Intramuros
8AM 18-Jun-11,Cigarette Butt,27.25,Tondo
1PM 18-Jun-11,Air-conditioned Fire/Air-cooler/Fan,27.25,Sampaloc
9AM 19-Jun-11,Electrical connection,24.5,Paco
11AM 19-Jun-11,Air-conditioned Fire/Air-cooler/Fan,24.5,Tondo
3PM 19-Jun-11,Electrical connection,24.5,Santa Cruz
5PM 19-Jun-11,Electrical connection,24.5,Tondo
7PM 19-Jun-11,Cigarette Butt,24.5,Tondo
10AM 20-Jun-11,Battery-related / Cellphone / Charger,25.75,Santa Cruz
2PM 21-Jun-11,Under Investigation,25.33,Santa Cruz
10AM 22-Jun-11,Electrical connection,27.25,Ermita
3AM 23-Jun-11,Electrical connection,25.5,Sampaloc
6AM 23-Jun-11,Electrical connection,25.5,Tondo
9AM 23-Jun-11,Electrical connection,25.5,Ermita
7PM 23-Jun-11,Electrical connection,25.5,Santa Ana
11AM 24-Jun-11,Electrical connection,25,Pandacan
3PM 24-Jun-11,Electrical connection,25,Binondo
5PM 24-Jun-11,Electrical connection,25,Binondo
9PM 24-Jun-11,Electrical connection,25,Santa Cruz
10PM 24-Jun-11,Electrical connection,25,Santa Ana
2AM 25-Jun-11,Electrical connection,25,Sampaloc
6AM 25-Jun-11,Under Investigation,25,Sampaloc
7AM 25-Jun-11,Electrical connection,25,Malate
8AM 25-Jun-11,Electrical connection,25,San Miguel
11AM 25-Jun-11,Electrical connection,25,Pandacan
2PM 25-Jun-11,Under Investigation,25,Sampaloc
1AM 26-Jun-11,Electrical connection,27.5,Paco
1AM 26-Jun-11,Electrical connection,27.5,Sampaloc
10PM 26-Jun-11,Electrical connection,27.5,Tondo
10AM 28-Jun-11,Electrical connection,28.75,Quiapo
7PM 28-Jun-11,Electrical connection,28.75,Sampaloc
5PM 29-Jun-11,Electrical connection,28.75,Santa Cruz
5PM 29-Jun-11,Electrical connection,31.33,Malate
7PM 29-Jun-11,Electrical connection,31.33,Ermita
7PM 29-Jun-11,Open flame,31.33,Sampaloc
7PM 29-Jun-11,Electrical connection,31.33,Santa Ana
9PM 29-Jun-11,Electrical connection,31.33,Sampaloc
7AM 29-Jun-11,Electrical connection,31.33,Santa Ana
2PM 3-Jul-11,Electrical connection,26.75,Sampaloc
4PM 3-Jul-11,Electrical connection,26.75,Santa Cruz
2PM 4-Jul-11,Electrical connection,27.25,Ermita
5PM 4-Jul-11,"Electrical Appliances (kettle, stove, ref, flat iron) (except fan)",27.25,Sampaloc
7AM 5-Jul-11,Chimney Fire,26.75,Tondo
10AM 7-Jul-11,Air-conditioned Fire/Air-cooler/Fan,26.75,San Andres
7AM 9-Jul-11,Electrical connection,25.75,Sampaloc
3PM 9-Jul-11,Electrical connection,25.75,Tondo
12PM 10-Jul-11,Electrical connection,25.75,Sampaloc
3PM 12-Jul-11,"Electrical Appliances (kettle, stove, ref, flat iron) (except fan)",28.5,Paco
7PM 12-Jul-11,Electrical connection,28.5,Ermita
1AM 13-Jul-11,Electrical connection,27.75,Malate
10AM 14-Jul-11,Electrical connection,29,Santa Cruz
10PM 14-Jul-11,Electrical connection,29,Ermita
10AM 16-Jul-11,Cigarette Butt,30,Sampaloc
11AM 16-Jul-11,Under Investigation,30,Santa Ana
3PM 16-Jul-11,Electrical connection,30,Sampaloc
7PM 16-Jul-11,Electrical connection,30,Paco
9PM 16-Jul-11,Electrical connection,30,Tondo
3PM 17-Jul-11,Electrical connection,29.5,Tondo
5AM 18-Jul-11,Cigarette Butt,30.25,Malate
11AM 18-Jul-11,Cigarette Butt,30.25,Tondo
9PM 18-Jul-11,Cigarette Butt,30.25,Santa Cruz
4AM 19-Jul-11,"LPG Leak, Gas, Keresone, Charcoal Stove",30,Santa Cruz
1PM 19-Jul-11,Electrical connection,30,Binondo
1PM 19-Jul-11,Electrical connection,30,Pandacan
6PM 19-Jul-11,Cigarette Butt,30,Malate
11AM 20-Jul-11,Electrical connection,29.25,Santa Cruz
11AM 20-Jul-11,Air-conditioned Fire/Air-cooler/Fan,29.25,Tondo
6AM 22-Jul-11,Electrical connection,28,Paco
12PM 22-Jul-11,Electrical connection,28,Tondo
9PM 22-Jul-11,Electrical connection,28,Sampaloc
7PM 23-Jul-11,"Electrical Appliances (kettle, stove, ref, flat iron) (except fan)",28,Santa Ana
7PM 24-Jul-11,Electrical connection,27,San Andres
6PM 25-Jul-11,Electrical connection,27.25,Santa Cruz
2AM 26-Jul-11,Electrical connection,25.5,Paco
7PM 26-Jul-11,Electrical connection,25.5,Malate
7PM 26-Jul-11,Electrical connection,25.5,Santa Ana
12PM 27-Jul-11,Air-conditioned Fire/Air-cooler/Fan,25.5,Binondo
2PM 27-Jul-11,Electrical connection,25.5,Tondo
7AM 28-Jul-11,Electrical connection,26.75,Sampaloc
5PM 28-Jul-11,Under Investigation,26.75,Sampaloc
9AM 30-Jul-11,Electrical connection,24.25,Malate
12PM 31-Jul-11,Electrical connection,24.25,Paco
